Universal Studios Singapore, Sentosa, Singapore
S.E.A. Aquarium, Sentosa, Singapore
Adventure Cove Waterpark, Sentosa, Singapore
Palawan Beach, Sentosa, Singapore
Sentosa Golf Club, Sentosa, Singapore
Clarke Quay, Singapore River, Singapore
Clarke Quay Central, Singapore River, Singapore
Boat Quay, Singapore River, Singapore
Asian Civilisations Museum, Singapore River, Singapore
Victoria Theatre and Concert Hall, Singapore River, Singapore
Paya Lebar Quarter, Paya Lebar, Singapore
PLQ Mall, Paya Lebar, Singapore
Paya Lebar Square, Paya Lebar, Singapore
SingPost Centre, Paya Lebar, Singapore
Lifelong Learning Institute, Paya Lebar, Singapore
