Galaxis, one-north, Singapore
Fusionopolis One, one-north, Singapore
Fusionopolis Two, one-north, Singapore
Sandcrawler, one-north, Singapore
JTC LaunchPad @ one-north, Singapore
ION Orchard, Orchard Road, Singapore
Wisma Atria, Orchard Road, Singapore
Ngee Ann City, Orchard Road, Singapore
Paragon, Orchard Road, Singapore
Orchard Central, Orchard Road, Singapore
Marina Bay Sands, Marina Bay, Singapore
ArtScience Museum, Marina Bay, Singapore
The Shoppes at Marina Bay Sands, Marina Bay, Singapore
Gardens by the Bay, Marina Bay, Singapore
Helix Bridge, Marina Bay, Singapore
